Id,ArrivalTime,FlightNumber
7VVRJ0PDOQ3ONCEDJEP6,17226.60583758094,BM2616
LGILAGWPIC2HC48B1POZ,13099.38535570159,BM2616
MVMAQQ6U2U2AGSREP4FE,13628.581397540614,BM2616
ARB1TWVCQQHXIA6BXPFO,16482.562471076657,BM2616
HY0GM9USIZ2V5DEVJMG8,16952.95447096361,BM2616
4LYJ95ZUAHOKK70JFX1G,12558.678214487067,BM2616
7Z1QX9C7EY0DM3WTZH6G,16610.953671924504,BM2616
H28GZ4WSX69F7RIF5LF8,12332.91962428609,BM2616
L0U4T0RNZMS4825027AH,15743.51774890459,BM2616
3NNFZY3X2G99GYE4BJNS,10971.91177550761,BM2616
8HNWHNX16034RKEAN49P,15390.875756748475,BM2616
FRA57G0BUKOIDX3IX9KI,16395.366496340277,BM2616
MBOGLSLLX4PUAITK6A12,14577.867893492508,BM2616
YAZP7OP4BK00YQS928O4,13706.688080138376,BM2616
XXQZWQ7QHM3KYE8E07DL,16229.090603982935,BM2616
OKVLL0Y3GSXVHU9VDC0F,14319.24333569865,BM2616
5SYFBQJI7GFTBTHX5IHW,15750.90609481638,BM2616
E9T5YU71C0BPUROFT0CU,17359.281753606323,BM2616
YFLFMVEVEVF4NBOK03L0,13932.643652235522,BM2616
AQG74LMAJGHJ32BOYTZV,15044.012072853406,BM2616
MZQ6S51CJGBBW4XFM79L,10769.443250497492,BM2616
J6TNJUIZICUMXUNVHSUW,11792.341245285816,BM2616
Q4ZDVH98ZK86BRQH2AVR,16961.99387454212,BM2616
YXZILNQDGOEWNS8AZT25,15434.937048763899,BM2616
WZKUESL2Q67Z8UOFJS2R,6822.617395334877,BM2616
HQ3YUV5K0PPJIJAX5NLT,14455.1139663652,BM2616
99GAS3U47K6ZBRUMIOPR,13615.283078777244,BM2616
YXF1R1JN697S7SWH6M8F,11662.62267234299,BM2616
4CVATNJM5NY2Y7VG5O06,14811.039744273323,BM2616
8J8P0RHC9KYLIWBLERDR,11725.802792076756,BM2616
P7B0GQDY4S2KDE9WT3EC,17878.03346082771,BM2616
ERNKXRLSC8866V811DEJ,12588.41640075776,BM2616
F5IAXJWO98EOP7TMXS3N,16031.836710283755,BM2616
I2AQXEPLYRSX7HM05OZ5,15899.98812070431,BM2616
QZ8I5KABZ0H66Y49S4Z9,16249.864695657463,BM2616
2NVEFZGPOHI26LNRS4XZ,11570.6519704662,BM2616
MQNO2EJZ31REOAPY1CW1,15400.359624590532,BM2616
R599BZH8OFS9186KQR50,12976.058475248854,BM2616
